id;country;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;age;sex;mot;anx;val;sec;ple;ae;i1_2;i2_2;i3_2;i4_2;i5_2;i6_2;i7_2;i8_2;i9_2;i10_2;i11_2;i12_2;i13_2;i14_2;i15_2;i16_2;i17_2;i18_2;i19_2;i20_2;i21_2;i22_2;i23_2;i24_2;i25_2;mot_2;anx_2;val_2;sec_2;ple_2;ae_2
F-18-5013;Australia;3;4;2;3;3;3;5;2;3;3;4;4;2;3;4;4;4;3;2;4;2;5;3;3;3;18;0;17;22;16;12;14;63;2;4;1;2;3;2;5;2;3;3;4;4;2;3;5;5;4;1;1;3;1;1;2;1;4;20;18;12;8;10;52
M-22-5082;Australia;4;5;1;3;2;5;5;2;3;2;4;4;2;3;4;5;5;2;2;2;2;4;4;2;3;22;1;16;23;17;11;13;62;4;5;1;2;1;5;5;2;2;2;5;5;1;2;5;5;5;1;1;1;2;5;4;1;2;15;25;17;9;8;54
F-18-5000;Australia;4;3;3;3;4;4;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;18;0;16;16;17;14;15;74;2;4;3;2;3;2;4;2;1;3;4;4;1;3;4;5;4;3;3;2;2;4;3;2;4;19;20;12;12;11;56
F-18-5073;Australia;3;3;3;2;2;2;4;4;2;4;3;4;2;2;5;4;4;3;2;2;1;4;4;1;3;18;0;18;19;11;16;9;59;3;4;3;2;3;2;4;3;1;3;2;4;2;1;4;5;4;3;2;3;2;4;4;2;3;18;20;12;15;8;57
F-19-5089;Australia;5;5;2;4;2;5;5;3;3;4;5;5;2;2;3;1;4;2;1;5;5;5;5;5;3;19;0;13;24;25;14;15;77;1;4;2;3;3;3;3;1;1;3;2;4;1;2;3;3;1;1;5;3;2;3;3;1;5;17;15;11;8;12;59
F-21-5162-1;Australia;4;3;2;3;2;4;3;2;2;2;5;3;2;2;2;2;5;3;4;4;3;3;4;2;2;21;0;10;17;20;13;13;79;4;3;3;2;2;5;3;2;2;2;5;4;2;2;3;3;4;2;3;3;2;4;3;1;5;15;18;19;12;10;68
F-18-5109;Australia;4;2;4;4;2;4;2;4;2;3;4;2;3;2;4;4;2;4;3;3;2;2;4;2;2;18;0;15;10;17;19;13;84;3;2;4;3;3;2;3;4;1;4;4;3;2;2;4;4;4;3;3;4;2;4;3;2;3;18;16;15;16;11;68
F-19-5006-1;Australia;3;5;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;4;3;3;19;0;15;17;14;16;14;72;2;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;2;4;3;4;3;3;1;4;16;18;15;14;14;69
F-30-5072;Australia;4;3;2;2;2;2;4;3;2;4;3;3;2;2;3;4;4;3;2;2;3;4;1;2;2;30;0;15;18;14;11;10;62;4;4;2;5;3;5;4;3;4;4;2;2;2;4;4;5;4;2;1;4;2;4;4;1;2;18;18;17;13;15;69
M-19-5038;Australia;2;4;4;1;2;2;2;4;1;4;4;2;4;1;4;5;2;2;1;1;1;2;4;1;5;19;1;20;12;10;18;5;61;2;4;4;2;1;2;2;4;1;2;4;2;4;1;5;5;1;2;1;4;2;2;4;1;4;17;11;14;18;6;70
M-19-5125;Australia;4;2;5;3;2;2;1;4;3;2;4;2;4;3;3;5;2;4;3;3;2;2;4;1;3;19;1;15;9;15;21;13;85;3;2;4;3;2;3;3;3;2;3;3;3;3;2;4;5;2;2;3;3;3;3;3;3;3;17;13;15;15;13;73
F-20-5089;Australia;3;3;4;2;4;4;3;3;1;4;3;3;3;2;5;2;3;4;2;2;3;3;3;3;3;20;0;18;15;15;17;10;69;3;3;3;3;3;4;2;3;1;4;3;2;3;2;3;3;2;4;2;4;2;3;4;1;3;16;12;16;17;9;74
F-18-3418;Australia;4;2;5;4;1;4;3;4;2;2;3;2;4;3;3;3;2;4;3;4;3;2;4;2;4;18;0;13;11;18;21;14;89;2;3;4;4;2;3;3;4;2;2;4;3;4;3;4;5;2;4;2;4;1;2;3;1;4;17;13;14;19;12;75
M-21-5074-1;Australia;5;2;3;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;4;4;4;2;4;4;2;21;1;14;13;20;16;19;88;1;1;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;15;13;13;15;16;76
F-18-5158;Australia;3;2;4;3;2;3;2;3;3;2;3;2;4;3;3;4;2;4;2;2;2;2;5;2;3;18;0;14;10;13;20;13;82;3;3;4;4;2;4;2;2;3;2;3;4;3;2;3;4;2;2;2;2;2;2;4;2;2;13;13;14;15;13;76
F-45-5034;Australia;4;2;4;3;3;4;2;4;2;3;2;2;2;2;3;4;2;2;3;4;2;3;4;3;2;45;0;15;11;16;16;13;79;3;2;4;3;2;3;3;4;2;4;3;2;2;3;3;4;3;3;2;4;2;2;4;2;3;16;12;15;17;12;76
M-18-5112;Australia;4;2;4;3;3;2;2;4;3;3;2;2;3;2;3;4;3;4;3;4;2;2;4;1;3;18;1;16;11;14;19;12;78;3;2;4;3;3;2;2;4;2;2;2;3;3;2;4;5;2;4;2;4;2;2;4;2;2;16;11;13;19;11;76
F-24-5011;Australia;4;3;4;4;2;4;3;3;3;2;4;4;2;4;3;4;3;3;4;3;3;3;4;3;3;24;0;14;16;18;16;18;82;4;4;3;4;2;4;3;2;4;2;4;5;2;4;3;3;4;3;3;4;3;4;4;3;4;14;20;19;14;18;77
F-19-5075;Australia;4;3;4;3;2;4;3;4;3;3;3;2;4;3;3;3;2;4;3;4;3;2;4;3;2;19;0;13;12;18;20;15;88;2;3;4;4;4;4;4;4;3;4;5;2;4;4;5;5;2;3;1;5;2;1;4;2;1;19;12;18;19;14;80
F-19-5023;Australia;4;2;4;3;1;4;2;4;3;2;4;2;3;3;2;3;4;4;3;3;3;2;4;4;2;19;0;10;12;18;19;16;91;4;2;4;3;2;3;2;4;2;4;4;2;4;4;4;5;2;4;2;2;1;2;4;2;2;17;10;14;20;13;80
M-19-5048;Australia;4;2;4;4;2;3;3;4;3;2;2;2;3;4;2;3;3;4;3;5;2;2;5;2;3;19;1;12;12;16;20;16;88;4;3;4;3;2;3;3;3;2;2;3;3;4;3;2;4;4;3;3;4;3;3;4;3;3;13;16;17;18;14;80
F-17-5098;Australia;5;2;4;4;2;5;3;4;3;3;4;2;4;3;2;3;3;4;3;4;4;3;5;3;3;17;0;13;13;22;21;16;93;4;2;3;4;2;4;3;4;2;2;3;2;3;3;4;5;3;3;2;3;3;3;5;2;2;15;13;17;18;13;80
F-19-5081-1;Australia;3;3;4;3;3;3;3;3;3;4;3;3;3;3;4;4;3;4;3;3;3;3;4;3;3;19;0;18;15;15;18;15;75;4;3;4;3;3;3;3;3;3;3;3;2;4;3;4;3;3;3;2;5;3;2;4;2;2;15;13;18;18;13;81
M-20-5114-1;Australia;4;4;3;2;2;4;4;3;2;2;4;4;2;2;3;3;4;4;3;4;3;4;4;2;4;20;1;14;20;19;16;11;72;4;3;4;3;2;3;2;3;2;2;4;2;2;3;2;4;2;4;3;2;4;2;2;2;3;13;11;17;15;13;81
F-19-5107;Australia;5;2;5;4;2;5;5;5;4;2;5;2;4;4;4;4;2;4;3;4;4;2;4;4;2;19;0;14;13;23;22;19;97;3;3;4;4;3;3;2;4;4;4;5;2;3;3;4;4;3;4;2;3;3;2;4;2;2;17;12;17;19;15;82
F-18-5112;Australia;4;1;1;5;1;5;1;5;5;2;5;2;4;4;3;3;2;4;4;4;4;2;4;4;2;18;0;11;8;22;18;22;103;1;2;4;4;3;4;4;3;3;4;4;2;4;4;3;4;3;4;2;4;2;2;5;4;2;16;13;15;20;17;83
F-22-5087-1;Australia;4;4;3;3;2;4;5;4;3;4;4;4;2;2;3;2;5;2;4;3;4;5;4;4;2;22;0;13;23;19;15;16;74;5;3;4;4;2;4;5;3;4;4;3;4;2;2;1;2;4;4;3;5;3;4;5;4;1;10;20;20;18;17;85
F-19-5095-1;Australia;5;3;1;5;1;5;4;4;4;1;5;4;2;4;3;3;4;4;1;2;3;4;3;2;3;19;0;11;19;20;14;16;80;5;2;2;4;2;4;4;4;4;2;5;4;2;4;3;2;4;4;2;4;4;4;4;2;2;11;18;22;16;16;85
F-18-5062;Australia;1;2;5;5;2;3;2;4;4;3;4;2;4;4;3;4;2;4;3;5;4;2;4;4;3;18;0;15;10;17;21;20;93;4;3;4;4;4;4;3;4;2;4;4;3;4;3;3;4;2;5;3;4;4;3;5;1;1;16;14;20;22;13;85
F-20-5021;Australia;4;3;2;3;3;4;4;3;2;3;4;2;2;3;2;3;4;3;2;4;3;4;4;2;4;20;0;15;17;19;14;12;73;3;2;4;4;3;2;2;4;4;2;3;2;4;4;4;5;3;3;3;4;2;2;4;4;2;16;11;14;19;19;85
F-19-5072-1;Australia;4;3;4;3;2;4;4;2;3;2;4;4;2;3;3;3;4;2;3;4;4;4;4;2;3;19;0;13;19;20;14;14;76;4;2;4;3;2;4;2;4;3;2;4;2;3;2;3;4;3;4;3;3;2;2;4;3;2;13;11;17;19;14;86
F-18-5006;Australia;3;2;4;4;2;4;2;4;3;2;4;2;4;4;2;4;2;4;3;3;3;2;4;3;2;18;0;12;10;17;20;17;92;4;2;2;3;2;3;3;4;4;2;4;3;4;3;2;4;2;4;3;3;2;2;4;3;2;12;12;16;18;16;86
F-52-5073;Australia;4;4;4;4;2;4;4;4;4;2;4;2;3;4;2;2;2;4;2;4;2;2;4;2;2;52;0;10;14;18;19;16;89;5;2;3;5;1;3;5;4;5;1;4;4;3;5;4;2;4;2;1;5;5;2;5;1;5;13;17;22;17;17;86
F-18-5085;Australia;4;3;4;4;3;4;3;4;4;3;4;2;3;3;2;4;3;4;3;4;4;2;4;3;2;18;0;14;13;20;19;17;89;4;3;4;3;3;4;2;4;3;2;4;3;4;3;4;4;3;4;3;4;4;2;4;2;2;15;13;20;20;14;86
F-29-5067;Australia;5;3;3;4;4;4;3;4;3;3;2;2;3;4;2;3;2;2;3;4;4;2;5;4;2;29;0;14;12;19;17;18;88;5;3;3;3;2;4;4;4;4;4;4;3;3;3;2;2;3;4;3;4;4;3;4;2;2;12;16;21;18;15;86
F-18-5070;Australia;3;3;4;2;3;3;4;2;2;2;4;3;2;2;4;4;4;3;2;3;2;4;4;2;4;18;0;17;18;15;15;10;65;4;2;4;3;2;3;2;4;3;3;5;2;4;3;4;3;2;3;2;4;2;2;5;3;2;14;10;18;20;14;88
