"age","sex","mot","anx","val","sec","ple","mot_2","anx_2","val_2","sec_2","ple_2"
18,"0",17,22,16,12,14,20,18,12,8,10
22,"1",16,23,17,11,13,15,25,17,9,8
18,"0",16,16,17,14,15,19,20,12,12,11
18,"0",18,19,11,16,9,18,20,12,15,8
19,"0",13,24,25,14,15,17,15,11,8,12
21,"0",10,17,20,13,13,15,18,19,12,10
18,"0",15,10,17,19,13,18,16,15,16,11
19,"0",15,17,14,16,14,16,18,15,14,14
30,"0",15,18,14,11,10,18,18,17,13,15
19,"1",20,12,10,18,5,17,11,14,18,6
19,"1",15,9,15,21,13,17,13,15,15,13
20,"0",18,15,15,17,10,16,12,16,17,9
18,"0",13,11,18,21,14,17,13,14,19,12
21,"1",14,13,20,16,19,15,13,13,15,16
18,"0",14,10,13,20,13,13,13,14,15,13
45,"0",15,11,16,16,13,16,12,15,17,12
18,"1",16,11,14,19,12,16,11,13,19,11
24,"0",14,16,18,16,18,14,20,19,14,18
19,"0",13,12,18,20,15,19,12,18,19,14
19,"0",10,12,18,19,16,17,10,14,20,13
19,"1",12,12,16,20,16,13,16,17,18,14
17,"0",13,13,22,21,16,15,13,17,18,13
19,"0",18,15,15,18,15,15,13,18,18,13
20,"1",14,20,19,16,11,13,11,17,15,13
19,"0",14,13,23,22,19,17,12,17,19,15
18,"0",11,8,22,18,22,16,13,15,20,17
22,"0",13,23,19,15,16,10,20,20,18,17
19,"0",11,19,20,14,16,11,18,22,16,16
18,"0",15,10,17,21,20,16,14,20,22,13
20,"0",15,17,19,14,12,16,11,14,19,19
19,"0",13,19,20,14,14,13,11,17,19,14
18,"0",12,10,17,20,17,12,12,16,18,16
52,"0",10,14,18,19,16,13,17,22,17,17
18,"0",14,13,20,19,17,15,13,20,20,14
29,"0",14,12,19,17,18,12,16,21,18,15
18,"0",17,18,15,15,10,14,10,18,20,14
19,"0",13,23,20,11,12,8,16,21,15,17
18,"1",14,14,20,19,18,12,14,19,17,19
28,"1",13,12,18,20,17,19,6,18,22,16
19,"0",12,13,19,19,11,10,11,18,19,15
19,"0",16,15,20,16,13,17,11,20,19,21
20,"0",11,13,21,21,15,12,11,18,19,19
22,"0",11,13,18,19,17,12,12,20,17,21
19,"1",15,11,18,17,14,15,10,20,20,19
24,"1",13,12,21,20,18,14,11,19,22,19
18,"0",9,8,19,23,20,11,9,19,21,15
18,"0",16,13,16,19,16,11,12,21,20,18
24,"1",11,10,19,16,18,11,10,21,20,17
22,"1",13,7,20,18,16,11,9,20,21,16
22,"0",12,10,19,22,15,10,10,20,22,17
19,"0",16,15,20,17,16,12,10,21,22,19
17,"0",9,6,22,21,19,15,5,21,24,17
18,"0",7,6,24,24,25,12,6,23,24,24
20,"0",11,7,23,23,21,10,6,24,25,22
18,"0",13,6,19,24,20,5,6,24,25,25
