"age","sex","mot","anx","val","sec","ple"
18,"0",17,22,16,12,14
22,"1",16,23,17,11,13
18,"0",16,16,17,14,15
18,"0",18,19,11,16,9
19,"0",13,24,25,14,15
21,"0",10,17,20,13,13
18,"0",15,10,17,19,13
19,"0",15,17,14,16,14
30,"0",15,18,14,11,10
19,"1",20,12,10,18,5
19,"1",15,9,15,21,13
20,"0",18,15,15,17,10
18,"0",13,11,18,21,14
21,"1",14,13,20,16,19
18,"0",14,10,13,20,13
45,"0",15,11,16,16,13
18,"1",16,11,14,19,12
24,"0",14,16,18,16,18
19,"0",13,12,18,20,15
19,"0",10,12,18,19,16
19,"1",12,12,16,20,16
17,"0",13,13,22,21,16
19,"0",18,15,15,18,15
20,"1",14,20,19,16,11
19,"0",14,13,23,22,19
18,"0",11,8,22,18,22
22,"0",13,23,19,15,16
19,"0",11,19,20,14,16
18,"0",15,10,17,21,20
20,"0",15,17,19,14,12
19,"0",13,19,20,14,14
18,"0",12,10,17,20,17
52,"0",10,14,18,19,16
18,"0",14,13,20,19,17
29,"0",14,12,19,17,18
18,"0",17,18,15,15,10
19,"0",13,23,20,11,12
18,"1",14,14,20,19,18
28,"1",13,12,18,20,17
19,"0",12,13,19,19,11
19,"0",16,15,20,16,13
20,"0",11,13,21,21,15
22,"0",11,13,18,19,17
19,"1",15,11,18,17,14
24,"1",13,12,21,20,18
18,"0",9,8,19,23,20
18,"0",16,13,16,19,16
24,"1",11,10,19,16,18
22,"1",13,7,20,18,16
22,"0",12,10,19,22,15
19,"0",16,15,20,17,16
17,"0",9,6,22,21,19
18,"0",7,6,24,24,25
20,"0",11,7,23,23,21
18,"0",13,6,19,24,20
