"age","sex","mot_2","anx_2","val_2","sec_2","ple_2"
18,"0",20,18,12,8,10
22,"1",15,25,17,9,8
18,"0",19,20,12,12,11
18,"0",18,20,12,15,8
19,"0",17,15,11,8,12
21,"0",15,18,19,12,10
18,"0",18,16,15,16,11
19,"0",16,18,15,14,14
30,"0",18,18,17,13,15
19,"1",17,11,14,18,6
19,"1",17,13,15,15,13
20,"0",16,12,16,17,9
18,"0",17,13,14,19,12
21,"1",15,13,13,15,16
18,"0",13,13,14,15,13
45,"0",16,12,15,17,12
18,"1",16,11,13,19,11
24,"0",14,20,19,14,18
19,"0",19,12,18,19,14
19,"0",17,10,14,20,13
19,"1",13,16,17,18,14
17,"0",15,13,17,18,13
19,"0",15,13,18,18,13
20,"1",13,11,17,15,13
19,"0",17,12,17,19,15
18,"0",16,13,15,20,17
22,"0",10,20,20,18,17
19,"0",11,18,22,16,16
18,"0",16,14,20,22,13
20,"0",16,11,14,19,19
19,"0",13,11,17,19,14
18,"0",12,12,16,18,16
52,"0",13,17,22,17,17
18,"0",15,13,20,20,14
29,"0",12,16,21,18,15
18,"0",14,10,18,20,14
19,"0",8,16,21,15,17
18,"1",12,14,19,17,19
28,"1",19,6,18,22,16
19,"0",10,11,18,19,15
19,"0",17,11,20,19,21
20,"0",12,11,18,19,19
22,"0",12,12,20,17,21
19,"1",15,10,20,20,19
24,"1",14,11,19,22,19
18,"0",11,9,19,21,15
18,"0",11,12,21,20,18
24,"1",11,10,21,20,17
22,"1",11,9,20,21,16
22,"0",10,10,20,22,17
19,"0",12,10,21,22,19
17,"0",15,5,21,24,17
18,"0",12,6,23,24,24
20,"0",10,6,24,25,22
18,"0",5,6,24,25,25
