"age","sex","mot","anx","val","sec","ple"
20,"F",18,23,14,13,5
21,"F",14,20,17,9,13
20,"F",20,22,8,6,5
20,"F",18,20,15,12,14
19,"F",18,22,15,13,11
20,"F",20,25,19,11,7
19,"F",13,25,11,10,5
21,"F",14,24,12,9,6
20,"F",16,17,19,14,13
19,"F",21,25,9,5,5
20,"F",22,24,12,8,5
19,"M",20,20,13,14,11
20,"F",17,25,14,8,5
20,"F",20,25,19,11,7
19,"M",20,20,13,14,11
21,"F",13,19,19,16,12
19,"F",17,17,17,15,13
20,"F",16,19,20,15,14
21,"F",17,23,12,16,6
19,"F",19,20,13,12,9
25,"M",12,15,9,14,10
21,"F",15,20,19,13,10
20,"F",21,19,20,18,7
21,"F",17,17,14,15,12
19,"F",18,23,21,12,8
22,"M",17,20,12,14,9
21,"F",17,24,19,10,5
20,"F",17,20,10,11,12
19,"F",17,17,17,15,13
19,"F",17,16,15,14,13
20,"F",14,14,16,18,10
27,"M",20,19,10,15,12
20,"F",16,16,14,14,12
19,"M",21,16,17,20,12
NA,"F",14,20,17,13,9
20,"F",15,18,20,12,12
24,"M",15,17,12,14,9
19,"F",15,17,19,16,14
25,"F",21,22,10,11,6
19,"F",14,24,20,13,8
20,"F",14,20,17,12,10
19,"F",15,20,19,14,11
19,"M",17,18,13,15,10
19,"M",17,15,15,15,9
21,"F",11,8,21,23,20
21,"M",14,17,17,12,14
21,"F",19,24,14,10,8
20,"M",16,21,17,12,15
21,"F",12,21,17,15,10
21,"F",14,14,13,19,12
20,"F",19,20,18,13,10
20,"F",12,20,21,16,17
21,"F",15,20,18,12,8
19,"F",18,18,15,15,11
19,"F",19,15,11,20,8
18,"F",15,17,22,16,15
21,"F",18,24,13,9,8
19,"F",13,16,18,17,13
20,"F",21,19,20,18,7
19,"F",12,23,20,11,14
22,"M",12,14,17,18,12
20,"M",13,15,19,17,14
21,"F",13,21,21,19,18
23,"F",12,16,21,19,17
21,"F",11,11,25,23,16
19,"F",14,16,19,14,10
20,"M",11,20,21,13,17
21,"F",15,14,17,12,16
19,"F",17,21,16,11,7
19,"F",12,16,21,16,12
19,"F",14,20,16,15,13
19,"F",11,12,22,19,18
20,"F",20,22,10,10,9
22,"F",12,19,23,14,11
20,"F",12,11,18,19,15
20,"F",15,13,19,17,8
21,"F",13,12,18,17,12
19,"F",17,10,17,20,12
21,"F",17,20,14,13,11
21,"F",11,11,23,21,19
20,"F",15,20,15,15,9
21,"F",17,17,18,18,11
21,"F",17,17,18,18,11
19,"F",13,14,15,18,15
19,"F",12,15,18,16,17
19,"F",12,15,18,16,17
20,"F",11,13,18,19,20
20,"F",11,11,17,18,17
23,"F",14,10,20,17,17
19,"F",10,15,23,19,18
19,"M",16,14,15,13,13
21,"F",10,14,20,19,16
19,"M",13,14,20,19,16
20,"M",9,7,23,20,20
19,"F",19,16,14,20,9
20,"F",17,25,17,5,5
20,"F",22,15,9,16,9
19,"F",19,19,14,14,11
22,"F",13,21,20,12,9
28,"F",15,17,18,14,9
20,"F",19,25,12,8,5
23,"F",22,23,5,9,7
22,"F",18,20,15,13,12
22,"F",13,21,20,12,9
19,"F",21,24,13,6,6
21,"F",21,21,8,5,10
20,"M",17,20,15,15,11
22,"F",18,16,12,14,7
20,"F",17,23,17,10,7
21,"F",18,24,20,14,12
19,"F",13,20,13,13,12
21,"M",13,16,17,16,14
20,"F",13,24,14,12,7
19,"M",14,15,23,13,10
22,"F",18,20,15,13,12
19,"F",22,20,15,18,8
21,"F",21,18,14,12,9
20,"F",16,24,17,6,7
21,"F",15,14,13,8,13
19,"F",23,21,9,7,5
20,"F",15,10,15,14,11
25,"M",16,13,16,16,15
22,"M",13,15,17,15,15
22,"F",16,16,14,16,14
25,"F",17,15,16,18,9
21,"F",16,11,16,16,13
20,"F",10,14,19,18,18
23,"F",14,15,15,15,14
21,"F",15,13,17,17,12
18,"M",14,12,15,18,15
21,"M",11,11,5,5,5
21,"F",15,21,16,13,11
20,"F",16,19,22,13,14
20,"F",13,21,17,13,14
23,"F",25,14,10,15,6
21,"M",11,11,5,5,5
19,"M",14,14,17,13,15
21,"F",15,11,17,18,17
20,"M",15,19,9,12,6
19,"F",11,20,19,16,9
20,"F",13,19,17,16,14
21,"M",14,10,18,16,13
19,"F",16,20,18,18,9
18,"F",19,20,20,18,10
20,"F",11,8,19,21,12
23,"M",14,16,18,19,13
21,"M",12,10,18,18,15
19,"F",11,18,20,18,15
20,"M",15,19,9,12,6
22,"F",13,15,18,19,14
20,"F",8,11,20,21,15
20,"F",8,11,20,21,15
20,"M",13,15,22,13,14
20,"F",11,18,21,19,12
20,"F",15,20,22,15,10
22,"F",14,15,19,16,9
22,"F",16,19,13,12,8
20,"F",13,16,14,20,13
19,"F",14,13,16,19,17
20,"F",16,16,15,18,15
