"age","sex","mot_2","anx_2","val_2","sec_2","ple_2"
20,"F",21,25,5,5,5
21,"F",18,25,11,6,5
20,"F",18,22,10,6,5
20,"F",19,25,12,10,6
19,"F",20,23,11,10,7
20,"F",17,25,18,7,5
19,"F",18,21,13,10,5
21,"F",21,19,13,13,5
20,"F",20,20,13,11,8
19,"F",16,23,18,8,6
20,"F",19,21,15,12,7
19,"M",20,20,13,11,10
20,"F",18,23,19,12,5
20,"F",17,20,13,10,9
19,"M",20,20,14,12,10
21,"F",18,22,18,11,7
19,"F",16,17,11,10,10
20,"F",18,20,12,17,8
21,"F",18,20,14,17,7
19,"F",17,19,15,12,10
25,"M",16,16,10,16,7
21,"F",20,15,12,16,8
20,"F",20,13,12,13,10
21,"F",17,17,10,15,11
19,"F",18,20,17,14,10
22,"M",14,20,17,11,10
21,"F",12,21,22,9,7
20,"F",17,17,12,16,11
19,"F",17,18,16,14,11
19,"F",17,14,12,15,12
20,"F",16,16,12,16,12
27,"M",17,13,13,15,11
20,"F",16,16,15,15,11
19,"M",16,16,13,17,12
NA,"F",15,17,16,16,11
20,"F",16,24,19,18,14
24,"M",21,10,12,20,11
19,"F",17,15,17,15,12
25,"F",15,12,14,13,13
19,"F",14,20,18,15,14
20,"F",13,19,20,14,13
19,"F",18,16,18,17,14
19,"M",15,16,17,17,13
19,"M",17,11,13,19,12
21,"F",16,14,20,13,13
21,"M",16,15,18,14,16
21,"F",13,14,17,16,12
20,"M",16,15,17,18,14
21,"F",17,17,18,18,16
21,"F",11,15,13,20,11
20,"F",16,15,20,15,15
20,"F",12,19,19,15,16
21,"F",13,16,21,18,10
19,"F",15,12,14,20,13
19,"F",17,14,16,19,16
18,"F",14,17,17,19,15
21,"F",14,14,20,14,15
19,"F",15,15,20,15,17
20,"F",12,11,19,18,9
19,"F",11,16,20,16,15
22,"M",14,12,17,20,13
20,"M",12,17,18,20,15
21,"F",10,19,24,16,13
23,"F",10,17,19,14,18
21,"F",21,16,21,20,20
19,"F",12,14,18,20,13
20,"M",12,18,21,16,18
21,"F",13,11,19,14,17
19,"F",12,12,17,20,16
19,"F",12,10,17,19,15
19,"F",13,10,20,19,15
19,"F",17,10,19,22,17
20,"F",13,10,17,20,18
22,"F",12,11,21,18,16
20,"F",13,9,16,21,17
20,"F",11,10,21,21,13
21,"F",12,11,19,20,18
19,"F",15,9,20,20,18
21,"F",12,11,18,22,18
21,"F",13,10,20,20,19
20,"F",12,10,19,22,18
21,"F",12,9,22,22,14
21,"F",13,11,21,22,18
19,"F",13,7,16,23,18
19,"F",12,10,20,20,19
19,"F",12,10,20,20,19
20,"F",12,12,20,20,22
20,"F",12,10,23,18,20
23,"F",12,5,19,20,19
19,"F",12,9,23,20,20
19,"M",13,5,19,23,20
21,"F",10,10,23,21,20
19,"M",10,7,22,23,21
20,"M",6,6,24,23,22
19,"F",23,22,8,11,8
20,"F",19,24,14,7,5
20,"F",25,14,5,13,5
19,"F",21,24,14,9,7
22,"F",17,25,13,11,8
28,"F",19,21,11,11,8
20,"F",20,17,7,14,7
23,"F",20,20,11,13,11
22,"F",18,19,10,14,9
22,"F",17,21,13,12,9
19,"F",18,19,12,13,9
21,"F",16,22,16,11,8
20,"M",16,20,13,11,9
22,"F",17,17,11,10,11
20,"F",16,19,12,12,10
21,"F",17,24,16,15,11
19,"F",15,23,13,16,11
21,"M",17,19,15,13,10
20,"F",15,19,14,11,12
19,"M",16,18,17,13,9
22,"F",16,20,15,16,11
19,"F",17,17,18,18,7
21,"F",17,16,14,17,12
20,"F",14,17,19,14,10
21,"F",20,20,18,15,19
19,"F",14,14,14,17,11
20,"F",17,12,14,18,12
25,"M",16,12,15,15,13
22,"M",15,15,15,15,15
22,"F",15,11,14,17,11
25,"F",15,16,20,18,10
21,"F",16,15,19,16,13
20,"F",11,15,15,15,15
23,"F",16,10,15,15,16
21,"F",12,18,17,16,17
18,"M",15,15,17,18,15
21,"M",15,16,19,16,17
21,"F",12,14,16,18,13
20,"F",15,14,21,17,12
20,"F",12,14,17,18,13
23,"F",19,7,17,20,12
21,"M",25,25,25,25,25
19,"M",11,14,18,16,17
21,"F",16,11,16,20,17
20,"M",14,10,13,20,18
19,"F",11,14,19,20,13
20,"F",12,20,24,15,20
21,"M",13,11,17,18,16
19,"F",13,10,16,21,16
18,"F",16,12,21,21,16
20,"F",14,10,18,20,16
23,"M",12,10,17,21,16
21,"M",12,10,17,20,17
19,"F",9,12,18,23,13
20,"M",14,10,19,20,19
22,"F",16,10,21,20,19
20,"F",13,11,21,21,16
20,"F",13,12,20,21,19
20,"M",11,8,21,21,13
20,"F",11,7,18,18,18
20,"F",10,14,24,19,18
22,"F",12,9,19,21,18
22,"F",8,10,22,20,15
20,"F",9,10,20,21,20
19,"F",12,9,19,20,24
20,"F",11,5,21,22,19
