"age","sex","mot","anx","val","sec","ple","mot_2","anx_2","val_2","sec_2","ple_2"
19,"0",14,18,16,14,10,25,25,5,5,9
19,"0",14,18,16,14,10,25,25,5,5,9
19,"0",15,21,10,12,5,19,22,13,6,5
18,"0",15,20,6,6,5,20,21,13,8,5
20,"0",17,20,12,15,9,21,17,10,9,5
19,"0",12,14,18,15,9,23,14,7,13,5
18,"0",17,10,15,21,10,14,20,9,11,6
24,"1",20,12,12,16,6,16,20,14,13,5
18,"0",15,18,16,9,9,19,17,15,12,6
19,"0",16,16,21,16,11,16,16,15,12,8
19,"1",18,11,14,18,10,18,13,11,17,6
20,"0",19,24,10,10,6,13,14,14,9,8
21,"0",15,21,16,14,8,14,19,17,14,8
20,"0",13,18,24,14,17,17,22,24,9,12
22,"0",8,21,18,9,9,14,20,19,13,8
18,"1",17,14,14,17,10,15,14,13,16,8
19,"0",13,18,15,9,8,13,16,18,13,6
26,"0",14,22,21,18,10,14,20,18,12,13
20,"0",13,7,15,20,7,16,5,13,12,5
19,"0",11,9,18,19,13,10,18,17,13,9
19,"0",16,20,17,10,8,12,15,18,14,8
21,"0",8,6,13,12,9,16,11,14,14,13
19,"0",13,18,15,11,8,14,14,18,15,10
0,"1",12,15,14,11,11,14,17,20,15,13
19,"0",10,13,20,17,16,16,14,18,16,14
21,"0",18,15,16,15,12,11,9,13,15,11
21,"0",18,15,16,15,12,11,9,13,15,11
19,"1",11,8,16,19,11,15,14,20,18,12
21,"0",18,21,12,10,8,14,10,14,20,14
20,"1",15,17,20,18,14,14,12,19,19,13
20,"0",11,15,17,16,10,13,13,21,16,14
26,"1",14,12,20,20,11,15,11,18,20,14
19,"0",13,14,18,15,16,11,16,23,17,17
23,"0",14,14,19,18,11,11,10,20,20,13
22,"0",18,14,18,16,8,9,9,22,22,11
19,"1",14,8,20,22,14,12,5,18,22,15
22,"0",14,14,22,15,12,12,8,22,21,17
