"age","sex","mot_2","anx_2","val_2","sec_2","ple_2"
19,"0",25,25,5,5,9
19,"0",25,25,5,5,9
19,"0",19,22,13,6,5
18,"0",20,21,13,8,5
20,"0",21,17,10,9,5
19,"0",23,14,7,13,5
18,"0",14,20,9,11,6
24,"1",16,20,14,13,5
18,"0",19,17,15,12,6
19,"0",16,16,15,12,8
19,"1",18,13,11,17,6
20,"0",13,14,14,9,8
21,"0",14,19,17,14,8
20,"0",17,22,24,9,12
22,"0",14,20,19,13,8
18,"1",15,14,13,16,8
19,"0",13,16,18,13,6
26,"0",14,20,18,12,13
20,"0",16,5,13,12,5
19,"0",10,18,17,13,9
19,"0",12,15,18,14,8
21,"0",16,11,14,14,13
19,"0",14,14,18,15,10
0,"1",14,17,20,15,13
19,"0",16,14,18,16,14
21,"0",11,9,13,15,11
21,"0",11,9,13,15,11
19,"1",15,14,20,18,12
21,"0",14,10,14,20,14
20,"1",14,12,19,19,13
20,"0",13,13,21,16,14
26,"1",15,11,18,20,14
19,"0",11,16,23,17,17
23,"0",11,10,20,20,13
22,"0",9,9,22,22,11
19,"1",12,5,18,22,15
22,"0",12,8,22,21,17
